"game_id","season","type","date_time","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2012030221","20122013","P",2013-05-16,"3","6",2,3,"home win OT","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030222","20122013","P",2013-05-19,"3","6",2,5,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030223","20122013","P",2013-05-21,"6","3",2,1,"away win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030224","20122013","P",2013-05-23,"6","3",3,4,"home win OT","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030225","20122013","P",2013-05-25,"3","6",1,3,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030311","20122013","P",2013-06-02,"6","5",3,0,"away win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030122","20122013","P",2013-05-03,"9","8",1,3,"home win REG","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2012030123","20122013","P",2013-05-05,"8","9",1,6,"home win REG","left","Scotiabank Place","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030124","20122013","P",2013-05-07,"8","9",2,3,"home win OT","left","Scotiabank Place","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030125","20122013","P",2013-05-09,"9","8",6,1,"away win REG","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2012030151","20122013","P",2013-05-01,"30","16",1,2,"home win OT","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030152","20122013","P",2013-05-04,"30","16",2,5,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2013020559","20132014","R",2013-12-24,"14","13",6,1,"away win REG","right","BB&T Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020650","20122013","R",2013-04-19,"27","19",1,2,"home win SO","left","Scottrade Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2013020122","20132014","R",2013-10-20,"25","26",2,5,"home win REG","right","Staples Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2013021102","20132014","R",2014-03-28,"10","4",2,4,"home win REG","right","Wells Fargo Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020481","20132014","R",2013-12-13,"2","27",3,6,"home win REG",NA,"Jobing.com Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2012020706","20122013","R",2013-04-27,"20","16",1,3,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014021054","20142015","R",2015-03-19,"12","8",0,4,"home win REG","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2014021110","20142015","R",2015-03-27,"8","52",2,5,"home win REG","right","MTS Centre","/api/v1/venues/null","America/Winnipeg",-5,"CDT"
"2014020220","20142015","R",2014-11-12,"30","1",1,3,"home win REG","left","Prudential Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020057","20142015","R",2014-10-16,"12","3",1,2,"home win SO","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014021124","20142015","R",2015-03-29,"29","19",4,2,"away win REG","left","Scottrade Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014021158","20142015","R",2015-04-03,"20","19",1,4,"home win REG","left","Scottrade Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2016020151","20162017","R",2016-11-03,"6","14",4,3,"away win SO","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2016020427","20162017","R",2016-12-12,"25","16",1,3,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2016020319","20162017","R",2016-11-27,"23","21",3,2,"away win SO","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2016020527","20162017","R",2016-12-29,"10","13",3,2,"away win SO","right","BB&T Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2016021133","20162017","R",2017-03-29,"15","30",5,4,"away win OT","right","Xcel Energy Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2015020587","20152016","R",2016-01-05,"53","23",3,2,"away win REG","right","Rogers Arena","/api/v1/venues/null","America/Vancouver",-7,"PDT"
